-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 09/30/2025 in LST
Location: Latitude  32.2131   Longitude -7.936 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 442.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2020,1,3,11,17.82,7.43,12.62,6.58,50.5,0.0,97.85,1.34,338.6
2020,1,3,12,18.95,7.12,13.04,6.45,46.07,0.0,97.75,2.0,327.7
2020,1,3,13,19.49,6.68,13.08,6.26,43.21,0.0,97.69,2.54,329.5
2020,1,3,14,19.19,6.44,12.82,6.16,43.31,0.0,97.66,2.81,337.0
2020,1,3,15,17.82,6.97,12.39,6.39,48.96,0.0,97.67,2.59,346.8
2020,1,3,16,13.85,7.64,10.74,6.68,66.01,0.0,97.72,2.36,355.6
2020,1,3,17,12.26,7.4,9.83,6.57,72.09,0.0,97.79,2.51,4.6
2020,1,3,18,11.45,7.66,9.55,6.69,77.48,0.0,97.85,2.34,17.9
2020,1,3,19,10.71,7.9,9.31,6.8,82.74,0.0,97.88,2.05,37.7
2020,1,3,20,9.96,8.06,9.01,6.87,87.91,0.01,97.9,1.84,59.9
2020,1,3,21,9.48,8.09,8.79,6.89,91.04,0.01,97.9,1.7,76.4
2020,1,3,22,9.35,7.97,8.66,6.83,91.01,0.01,97.86,1.52,82.5
2020,1,3,23,9.28,7.8,8.54,6.76,90.46,0.01,97.8,1.42,77.8
2020,1,4,0,8.92,7.65,8.29,6.69,91.7,0.0,97.77,1.47,70.6
2020,1,4,1,8.66,7.49,8.07,6.62,92.32,0.0,97.74,1.61,68.1
2020,1,4,2,8.55,7.28,7.92,6.52,91.59,0.0,97.71,1.8,67.1
2020,1,4,3,8.65,7.06,7.86,6.43,89.71,0.0,97.71,1.8,69.6
2020,1,4,4,8.62,6.87,7.74,6.34,88.66,0.0,97.73,1.62,76.0
2020,1,4,5,8.45,6.7,7.58,6.27,88.72,0.0,97.75,1.45,84.1
2020,1,4,6,8.23,6.54,7.38,6.2,89.06,0.0,97.75,1.29,93.5
2020,1,4,7,9.59,6.54,8.07,6.2,81.25,0.0,97.77,1.3,97.9
2020,1,4,8,11.7,6.72,9.21,6.28,71.53,0.0,97.81,1.63,83.7
2020,1,4,9,13.9,7.19,10.55,6.48,63.89,0.0,97.82,1.96,57.7
2020,1,4,10,15.87,7.37,11.62,6.57,57.01,0.0,97.75,2.11,28.9
2020,1,4,11,17.22,7.41,12.31,6.59,52.42,0.0,97.64,2.54,11.1
2020,1,4,12,17.95,7.39,12.67,6.58,49.93,0.0,97.54,2.97,5.2
2020,1,4,13,18.16,7.35,12.75,6.57,49.17,0.0,97.47,3.35,6.3
2020,1,4,14,17.87,7.28,12.58,6.54,49.83,0.0,97.44,3.5,10.7
2020,1,4,15,16.71,7.51,12.11,6.64,54.44,0.0,97.45,3.3,14.6
2020,1,4,16,12.91,8.04,10.47,6.88,72.08,0.0,97.47,2.55,13.8
2020,1,4,17,11.12,8.05,9.58,6.89,81.26,0.0,97.5,2.84,16.3
2020,1,4,18,10.15,8.31,9.23,7.01,88.23,0.0,97.54,2.78,23.8
2020,1,4,19,9.22,8.57,8.89,7.13,95.55,0.0,97.57,2.47,37.4
2020,1,4,20,8.68,8.7,8.69,7.19,99.94,0.0,97.58,2.13,55.3
2020,1,4,21,8.62,8.62,8.62,7.15,99.78,0.0,97.57,1.77,70.1
2020,1,4,22,8.74,8.4,8.57,7.05,97.56,0.0,97.54,1.3,80.7
2020,1,4,23,8.8,8.11,8.45,6.92,95.35,0.01,97.5,0.72,90.0
2020,1,5,0,8.67,7.8,8.23,6.77,94.09,0.01,97.48,0.41,84.4
2020,1,5,1,8.34,7.46,7.9,6.62,94.08,0.01,97.46,0.14,167.9
2020,1,5,2,7.89,7.02,7.46,6.42,94.05,0.01,97.43,0.41,191.3
2020,1,5,3,7.54,6.6,7.07,6.24,93.6,0.01,97.39,0.69,175.0
2020,1,5,4,7.31,6.21,6.76,6.08,92.65,0.01,97.38,0.97,163.2
2020,1,5,5,7.21,5.88,6.55,5.94,91.15,0.01,97.38,1.19,155.2
2020,1,5,6,7.24,5.58,6.41,5.82,89.14,0.01,97.4,1.31,149.7
2020,1,5,7,9.04,5.66,7.35,5.86,79.43,0.01,97.43,1.17,147.3
2020,1,5,8,11.38,6.69,9.04,6.28,72.8,0.0,97.46,0.79,123.1
2020,1,5,9,13.23,6.98,10.1,6.41,65.79,0.0,97.47,0.26,100.9
2020,1,5,10,15.16,6.69,10.92,6.29,56.93,0.0,97.4,0.79,286.8
2020,1,5,11,16.72,6.24,11.48,6.1,49.92,0.0,97.3,1.89,296.7
2020,1,5,12,17.43,5.98,11.7,6.0,46.91,0.0,97.22,2.64,304.4
2020,1,5,13,17.43,5.85,11.64,5.95,46.49,0.0,97.17,3.01,312.4
2020,1,5,14,16.92,5.82,11.37,5.93,47.85,0.0,97.14,3.05,321.4
2020,1,5,15,15.75,6.09,10.92,6.04,52.5,0.0,97.14,2.97,334.6
2020,1,5,16,12.6,6.89,9.74,6.38,68.04,0.0,97.18,2.41,351.9
2020,1,5,17,10.71,6.88,8.8,6.37,77.02,0.0,97.24,2.62,3.5
2020,1,5,18,9.54,7.0,8.27,6.42,84.0,0.0,97.3,2.51,14.3
2020,1,5,19,8.63,7.12,7.88,6.47,90.05,0.0,97.34,2.24,25.6
2020,1,5,20,8.28,7.22,7.75,6.52,92.95,0.0,97.36,1.85,36.4
2020,1,5,21,8.26,7.28,7.77,6.54,93.35,0.0,97.35,1.45,50.0
2020,1,5,22,8.14,7.3,7.72,6.55,94.23,0.0,97.32,1.21,70.7
2020,1,5,23,7.82,7.27,7.55,6.55,96.26,0.0,97.28,1.21,90.5
2020,1,6,0,7.52,7.15,7.34,6.49,97.33,0.01,97.25,1.3,103.3
2020,1,6,1,7.5,6.91,7.2,6.39,95.96,0.01,97.24,1.3,110.2
2020,1,6,2,7.76,6.53,7.15,6.22,91.76,0.01,97.23,1.18,113.5
2020,1,6,3,7.88,6.21,7.05,6.09,89.13,0.02,97.25,0.78,114.3
2020,1,6,4,7.5,5.9,6.7,5.95,89.42,0.02,97.29,0.4,118.5
2020,1,6,5,7.17,5.63,6.4,5.84,89.81,0.03,97.33,0.53,131.2
2020,1,6,6,7.01,5.38,6.2,5.74,89.28,0.03,97.36,1.08,129.0
2020,1,6,7,8.26,5.35,6.8,5.73,81.88,0.02,97.41,1.44,119.1
2020,1,6,8,10.53,6.12,8.33,6.03,73.98,0.01,97.46,1.86,85.1
2020,1,6,9,12.66,6.46,9.56,6.17,65.75,0.0,97.49,2.24,65.2
2020,1,6,10,14.7,6.32,10.51,6.13,57.17,0.0,97.43,2.39,48.4
2020,1,6,11,16.58,5.96,11.27,5.98,49.39,0.0,97.32,2.94,38.8
2020,1,6,12,17.35,5.71,11.53,5.88,46.21,0.0,97.23,3.61,36.3
2020,1,6,13,17.54,5.58,11.56,5.83,45.25,0.0,97.18,4.24,36.0
2020,1,6,14,17.3,5.53,11.42,5.81,45.78,0.0,97.18,4.67,38.6
2020,1,6,15,16.34,5.8,11.07,5.92,49.58,0.0,97.19,4.44,38.0
2020,1,6,16,12.89,6.24,9.57,6.1,63.87,0.0,97.23,3.37,27.4
2020,1,6,17,11.49,6.29,8.89,6.11,70.19,0.0,97.29,3.76,21.7
2020,1,6,18,10.83,6.8,8.82,6.34,76.14,0.0,97.35,3.98,24.5
2020,1,6,19,9.79,7.46,8.62,6.63,85.38,0.0,97.4,3.7,35.0
2020,1,6,20,8.76,8.0,8.38,6.88,94.99,0.01,97.43,3.27,48.7
2020,1,6,21,8.04,8.29,8.16,7.01,100.0,0.01,97.45,2.96,60.0
2020,1,6,22,7.69,8.29,7.99,7.01,100.0,0.01,97.44,2.76,66.5
2020,1,6,23,7.57,8.07,7.82,6.91,100.0,0.02,97.42,2.61,69.1
2020,1,7,0,7.67,7.74,7.7,6.75,100.0,0.02,97.42,2.6,70.2
2020,1,7,1,7.76,7.26,7.51,6.54,96.65,0.02,97.42,2.52,72.4
2020,1,7,2,7.77,6.53,7.15,6.23,92.0,0.01,97.4,2.33,79.4
2020,1,7,3,7.72,5.41,6.56,5.8,85.93,0.0,97.36,2.11,92.4
2020,1,7,4,7.5,3.93,5.71,5.27,79.28,0.0,97.35,1.92,109.2
2020,1,7,5,6.85,2.26,4.55,4.74,74.59,0.0,97.36,1.58,136.0
2020,1,7,6,6.25,0.89,3.57,4.33,71.06,0.0,97.4,1.71,158.7
2020,1,7,7,8.14,1.39,4.77,4.41,63.61,0.0,97.46,1.8,166.5
2020,1,7,8,11.35,-0.72,5.32,3.84,44.7,0.0,97.53,1.93,187.5
2020,1,7,9,15.13,-1.68,6.73,3.55,32.3,0.0,97.57,0.91,208.3
2020,1,7,10,17.87,-2.97,7.45,3.18,24.3,0.0,97.52,0.9,313.6
2020,1,7,11,18.89,-3.18,7.86,3.12,22.34,0.0,97.43,1.63,338.0
2020,1,7,12,19.32,-3.18,8.07,3.12,21.73,0.0,97.35,2.06,347.9
2020,1,7,13,19.3,-3.15,8.07,3.12,21.75,0.0,97.32,2.42,352.9
2020,1,7,14,18.83,-2.93,7.95,3.17,22.76,0.0,97.31,2.71,356.0
2020,1,7,15,17.14,-0.23,8.46,3.93,31.37,0.0,97.33,2.49,357.5
2020,1,7,16,12.36,1.92,7.14,4.52,49.12,0.0,97.38,2.96,359.4
2020,1,7,17,10.34,1.73,6.04,4.45,55.32,0.0,97.43,3.34,5.8
2020,1,7,18,9.25,2.37,5.81,4.66,62.35,0.0,97.47,3.23,16.0
2020,1,7,19,8.28,2.87,5.58,4.84,69.17,0.0,97.5,2.91,31.1
2020,1,7,20,7.6,3.02,5.31,4.9,73.36,0.0,97.53,2.53,52.2
2020,1,7,21,7.14,2.71,4.93,4.79,74.02,0.0,97.54,2.3,77.2
2020,1,7,22,6.81,1.99,4.4,4.55,71.92,0.0,97.52,2.21,102.3
2020,1,7,23,6.73,1.03,3.88,4.25,67.55,0.0,97.5,2.22,122.7
2020,1,8,0,6.83,0.02,3.43,3.94,62.19,0.0,97.47,2.22,137.6
2020,1,8,1,7.01,-0.95,3.03,3.67,57.21,0.0,97.45,2.18,148.7
2020,1,8,2,7.06,-1.76,2.65,3.45,53.58,0.0,97.41,2.15,160.5
2020,1,8,3,6.89,-2.53,2.18,3.26,51.21,0.0,97.37,2.2,172.4
2020,1,8,4,6.65,-3.23,1.71,3.09,49.35,0.0,97.37,2.25,180.8
2020,1,8,5,6.44,-3.85,1.3,2.94,47.66,0.0,97.4,2.25,186.4
2020,1,8,6,6.3,-4.23,1.04,2.85,46.67,0.0,97.43,2.25,191.6
2020,1,8,7,8.48,-1.51,3.48,3.51,49.52,0.0,97.48,1.98,196.1
2020,1,8,8,12.29,-3.62,4.33,2.98,32.63,0.0,97.56,1.72,204.0
2020,1,8,9,15.61,-3.11,6.25,3.1,27.37,0.0,97.6,0.82,30.6
2020,1,8,10,17.79,-2.93,7.43,3.14,24.12,0.0,97.55,1.6,19.7
2020,1,8,11,18.81,-2.75,8.03,3.18,22.89,0.0,97.46,1.88,4.0
2020,1,8,12,19.35,-2.47,8.44,3.26,22.67,0.0,97.38,2.29,357.7
2020,1,8,13,19.36,-2.08,8.64,3.36,23.34,0.0,97.35,2.67,358.7
2020,1,8,14,18.93,-1.57,8.68,3.49,24.9,0.0,97.33,2.88,0.0
2020,1,8,15,17.27,1.23,9.25,4.34,34.35,0.0,97.33,2.4,0.0
2020,1,8,16,12.59,2.8,7.7,4.8,51.37,0.0,97.36,2.83,0.2
2020,1,8,17,10.68,2.39,6.54,4.66,56.62,0.0,97.41,3.21,6.3
2020,1,8,18,9.72,3.01,6.36,4.88,63.24,0.0,97.45,3.2,15.4
2020,1,8,19,8.87,3.81,6.34,5.18,71.1,0.0,97.49,2.98,28.3
2020,1,8,20,8.15,4.55,6.35,5.47,78.84,0.0,97.51,2.68,44.2
2020,1,8,21,7.56,4.85,6.2,5.6,84.03,0.0,97.52,2.32,66.4
2020,1,8,22,7.29,4.52,5.9,5.49,83.89,0.0,97.49,2.01,91.1
2020,1,8,23,7.34,3.77,5.56,5.22,79.47,0.0,97.45,1.81,116.3
2020,1,9,0,7.48,2.82,5.15,4.89,73.74,0.0,97.42,1.81,133.7
2020,1,9,1,7.63,1.96,4.8,4.61,68.8,0.0,97.4,1.78,143.5
2020,1,9,2,7.52,1.35,4.43,4.42,66.45,0.0,97.37,1.42,152.4
2020,1,9,3,7.28,0.83,4.06,4.26,65.08,0.0,97.33,1.39,150.3
2020,1,9,4,7.17,0.38,3.77,4.12,63.43,0.0,97.33,1.43,145.5
2020,1,9,5,7.22,-0.02,3.6,3.99,61.24,0.0,97.35,1.45,138.6
2020,1,9,6,7.29,-0.36,3.46,3.89,59.43,0.0,97.38,1.46,133.6
2020,1,9,7,9.1,1.18,5.14,4.3,58.1,0.0,97.41,1.36,128.7
2020,1,9,8,12.14,0.64,6.39,4.13,45.59,0.0,97.46,1.5,89.2
2020,1,9,9,14.73,0.97,7.85,4.21,39.25,0.0,97.47,2.39,51.1
2020,1,9,10,16.59,0.58,8.59,4.09,33.84,0.0,97.43,2.78,35.2
2020,1,9,11,17.89,0.35,9.12,4.02,30.6,0.0,97.34,3.09,27.0
2020,1,9,12,18.7,0.28,9.49,4.01,28.99,0.0,97.26,3.42,20.3
2020,1,9,13,18.93,0.44,9.68,4.05,28.86,0.0,97.24,4.01,13.6
2020,1,9,14,18.46,1.0,9.73,4.23,31.04,0.0,97.26,4.63,9.2
2020,1,9,15,16.91,2.32,9.61,4.65,37.63,0.0,97.28,4.38,7.1
2020,1,9,16,12.56,4.45,8.51,5.4,57.87,0.0,97.34,3.3,5.6
2020,1,9,17,10.64,5.39,8.02,5.78,70.37,0.0,97.42,3.5,8.5
2020,1,9,18,9.56,6.61,8.08,6.28,82.21,0.0,97.47,3.3,16.2
2020,1,9,19,8.35,7.33,7.84,6.58,93.5,0.0,97.51,2.82,30.8
2020,1,9,20,7.69,7.49,7.59,6.64,98.71,0.0,97.53,2.4,55.8
2020,1,9,21,7.39,7.05,7.22,6.45,97.87,0.01,97.53,2.17,86.8
2020,1,9,22,7.39,6.29,6.84,6.14,93.15,0.01,97.49,2.05,112.3
2020,1,9,23,7.57,5.38,6.48,5.77,86.46,0.01,97.46,2.02,122.3
2020,1,10,0,8.0,4.55,6.27,5.46,79.47,0.02,97.47,1.5,119.6
2020,1,10,1,8.43,4.01,6.22,5.27,74.52,0.02,97.49,1.2,91.9
2020,1,10,2,8.38,3.78,6.08,5.19,73.64,0.02,97.49,1.47,76.2
2020,1,10,3,7.87,3.68,5.77,5.17,75.94,0.02,97.47,1.81,79.2
2020,1,10,4,7.53,3.58,5.56,5.14,77.29,0.03,97.5,2.07,81.9
2020,1,10,5,7.18,3.43,5.3,5.1,78.58,0.04,97.53,2.35,79.0
2020,1,10,6,6.8,3.3,5.05,5.06,80.04,0.04,97.56,2.63,76.4
2020,1,10,7,8.41,3.73,6.07,5.17,73.28,0.04,97.58,2.94,80.6
2020,1,10,8,10.68,4.07,7.38,5.27,64.14,0.02,97.62,3.79,78.4
2020,1,10,9,12.99,3.74,8.36,5.14,53.72,0.0,97.64,4.06,68.9
2020,1,10,10,15.39,2.98,9.18,4.89,43.72,0.0,97.57,4.1,57.0
2020,1,10,11,17.22,2.77,9.99,4.82,38.3,0.0,97.44,3.9,47.0
2020,1,10,12,18.41,3.0,10.7,4.88,35.94,0.0,97.33,3.77,37.4
2020,1,10,13,18.86,3.42,11.14,5.03,35.99,0.0,97.29,4.4,27.3
2020,1,10,14,18.37,4.04,11.2,5.26,38.81,0.0,97.3,4.93,21.3
2020,1,10,15,16.9,5.01,10.96,5.63,45.56,0.0,97.28,4.0,18.2
2020,1,10,16,12.51,6.33,9.42,6.16,66.15,0.0,97.26,2.87,12.3
2020,1,10,17,10.68,6.84,8.76,6.38,77.35,0.0,97.31,3.62,11.2
2020,1,10,18,9.59,7.59,8.59,6.7,87.41,0.0,97.36,3.79,16.7
2020,1,10,19,8.5,7.92,8.21,6.84,96.08,0.0,97.4,3.39,27.4
2020,1,10,20,7.85,7.85,7.85,6.8,99.86,0.01,97.42,3.06,40.6
2020,1,10,21,7.81,7.61,7.71,6.69,98.53,0.02,97.43,2.75,54.6
2020,1,10,22,8.04,7.32,7.68,6.56,95.1,0.03,97.41,2.14,68.3
2020,1,10,23,8.57,7.11,7.84,6.47,90.43,0.05,97.35,1.92,77.1
2020,1,11,0,8.8,7.02,7.91,6.43,88.45,0.07,97.31,1.88,77.7
2020,1,11,1,8.8,6.92,7.86,6.39,87.88,0.07,97.28,2.0,76.4
2020,1,11,2,8.69,6.8,7.74,6.34,87.81,0.06,97.25,1.84,77.8
2020,1,11,3,8.6,6.64,7.62,6.27,87.35,0.06,97.22,1.68,77.6
2020,1,11,4,8.23,6.36,7.29,6.15,87.86,0.05,97.21,1.54,72.6
2020,1,11,5,7.69,6.04,6.86,6.01,89.09,0.02,97.22,1.63,64.5
2020,1,11,6,7.2,5.72,6.46,5.88,90.16,0.01,97.25,1.74,59.1
2020,1,11,7,8.95,5.79,7.37,5.91,80.48,0.0,97.29,2.26,53.1
2020,1,11,8,10.91,5.45,8.18,5.77,68.94,0.0,97.33,2.99,46.6
2020,1,11,9,12.36,4.87,8.61,5.53,60.04,0.0,97.34,3.17,45.0
2020,1,11,10,13.61,4.33,8.97,5.33,53.31,0.0,97.3,3.29,41.1
2020,1,11,11,14.75,3.6,9.17,5.07,47.05,0.0,97.2,3.54,35.8
2020,1,11,12,15.56,2.87,9.21,4.82,42.42,0.0,97.09,3.84,33.9
2020,1,11,13,15.98,2.1,9.04,4.57,39.13,0.0,97.02,4.06,35.1
2020,1,11,14,15.86,1.64,8.75,4.42,38.13,0.0,96.99,4.16,38.0
2020,1,11,15,14.87,1.75,8.31,4.45,40.91,0.0,97.0,3.78,40.6
2020,1,11,16,10.94,2.97,6.95,4.86,57.81,0.0,97.05,2.62,36.8
2020,1,11,17,9.15,2.52,5.84,4.7,63.08,0.0,97.12,2.81,35.7
2020,1,11,18,8.46,2.64,5.55,4.74,66.7,0.0,97.18,2.65,41.3
2020,1,11,19,8.01,2.91,5.46,4.84,70.25,0.0,97.23,2.2,51.5
2020,1,11,20,7.66,3.06,5.36,4.9,72.86,0.0,97.25,1.83,65.4
2020,1,11,21,7.45,3.0,5.23,4.89,73.76,0.0,97.26,1.69,79.1
2020,1,11,22,7.31,2.65,4.98,4.79,72.93,0.0,97.23,1.56,100.4
2020,1,11,23,6.98,1.9,4.44,4.56,71.01,0.0,97.19,1.64,132.3
2020,1,12,0,6.41,1.01,3.71,4.28,69.31,0.01,97.18,2.13,155.8
2020,1,12,1,5.7,0.13,2.92,4.0,68.05,0.0,97.18,2.72,166.6
2020,1,12,2,5.15,-0.64,2.26,3.76,66.47,0.0,97.19,3.19,171.2
2020,1,12,3,4.73,-1.23,1.75,3.59,65.37,0.0,97.19,3.52,172.3
2020,1,12,4,4.43,-1.62,1.4,3.47,64.55,0.0,97.22,3.73,172.1
2020,1,12,5,4.22,-1.69,1.26,3.45,65.17,0.0,97.28,3.83,171.7
2020,1,12,6,4.31,-1.33,1.49,3.55,66.67,0.0,97.33,3.92,173.1
2020,1,12,7,8.16,-0.37,3.89,3.8,54.72,0.0,97.4,5.09,176.4
2020,1,12,8,11.58,0.01,5.8,3.91,44.79,0.0,97.47,4.66,184.4
2020,1,12,9,15.42,-0.9,7.26,3.66,32.67,0.0,97.52,3.08,210.6
2020,1,12,10,17.73,-1.76,7.98,3.43,26.43,0.0,97.5,2.52,240.5
2020,1,12,11,18.82,-1.99,8.42,3.37,24.23,0.0,97.43,2.96,262.6
2020,1,12,12,19.25,-2.0,8.62,3.37,23.58,0.0,97.36,3.5,275.2
2020,1,12,13,19.14,-1.85,8.65,3.41,24.01,0.0,97.32,3.78,283.9
2020,1,12,14,18.57,-1.51,8.53,3.5,25.54,0.0,97.32,3.76,290.7
2020,1,12,15,16.96,0.26,8.61,4.02,32.46,0.0,97.36,3.15,298.3
2020,1,12,16,12.13,2.27,7.2,4.61,50.88,0.0,97.42,2.88,306.2
2020,1,12,17,10.1,1.83,5.96,4.46,56.37,0.0,97.48,2.97,313.1
2020,1,12,18,9.76,1.8,5.78,4.45,57.57,0.0,97.52,2.34,317.8
2020,1,12,19,10.33,1.64,5.99,4.4,54.8,0.0,97.53,0.97,311.2
2020,1,12,20,9.42,1.62,5.52,4.39,58.11,0.0,97.53,0.83,169.6
2020,1,12,21,7.83,1.41,4.62,4.33,63.82,0.0,97.5,2.06,159.8
